classes,comment_lines_density,vulnerabilities,lines,ncloc,complexity,security_rating,major_violations,duplicated_blocks,code_smells,file_complexity,functions,duplicated_files,duplicated_lines_density,critical_violations,violations,majorbug,statements,blocker_violations,reliability_remediation_effort,duplicated_lines,bugs,security_remediation_effort,directories,info_violations,sqale_index,sqale_debt_ratio,minor_violations,files,sqale_rating
194,131,61,990,894,695,2,386,44,469,192,503,30,39,2,115,480,773,37,56,58,54,61,25,114,521,32,216,153,0
1384,1447,1517,588,684,883,1576,1192,1534,1109,1386,1075,1548,1539,1576,1463,1098,805,1541,1522,1520,1524,1517,1553,1464,1057,1546,1362,1425,1578
