total,info,minor,major,critical,blocker,codesmell,bug,vulnerability,infocodesmell,infobug,infovulnerabiltiy,minorcodesmell,minorbug,minorvulnerability,majorcodesmell,majorbug,majorvulnerability,criticalcodesmell,criticalbug,criticalvulnerability,blockercodesmell,blockerbug,blockervulnerability
535,45,227,464,115,39,521,56,61,45,0,0,227,0,0,463,4,0,55,28,53,0,30,15
1043,1533,1351,1114,1463,1539,1057,1522,1517,1533,1578,1578,1351,1578,1578,1115,1574,1578,1523,1550,1525,1578,1548,1563
